Date	AtrStop	BuyStop	SellStop
2025-11-28T20:00:00.0000000	3075.30862258346	3075.30862258346	
2025-11-28T20:30:00.0000000	3075.30862258346	3075.30862258346	
2025-11-28T21:00:00.0000000	3075.30862258346	3075.30862258346	
2025-11-28T21:30:00.0000000	3075.30862258346	3075.30862258346	
2025-11-28T22:00:00.0000000	3075.30862258346	3075.30862258346	
2025-11-28T22:30:00.0000000	3075.30862258346	3075.30862258346	
2025-11-28T23:00:00.0000000	3075.30862258346	3075.30862258346	
2025-11-28T23:30:00.0000000	3075.30862258346	3075.30862258346	
2025-11-29T00:00:00.0000000	3075.30862258346	3075.30862258346	
2025-11-29T00:30:00.0000000	3075.30862258346	3075.30862258346	
2025-11-29T01:00:00.0000000	3075.30862258346	3075.30862258346	
2025-11-29T01:30:00.0000000	3075.30862258346	3075.30862258346	
2025-11-29T02:00:00.0000000	3075.30862258346	3075.30862258346	
2025-11-29T02:30:00.0000000	3074.35114328028	3074.35114328028	
2025-11-29T03:00:00.0000000	3070.34870788598	3070.34870788598	
2025-11-29T03:30:00.0000000	3065.80829322474	3065.80829322474	
2025-11-29T04:00:00.0000000	3065.80829322474	3065.80829322474	
2025-11-29T04:30:00.0000000	3065.80829322474	3065.80829322474	
2025-11-29T05:00:00.0000000	3065.80829322474	3065.80829322474	
2025-11-29T05:30:00.0000000	3065.80829322474	3065.80829322474	
2025-11-29T06:00:00.0000000	3057.60999402786	3057.60999402786	
2025-11-29T06:30:00.0000000	3051.96189907415	3051.96189907415	
2025-11-29T07:00:00.0000000	3049.52561816586	3049.52561816586	
2025-11-29T07:30:00.0000000	3045.83392206272	3045.83392206272	
2025-11-29T08:00:00.0000000	3045.47516386926	3045.47516386926	
2025-11-29T08:30:00.0000000	3045.47516386926	3045.47516386926	
2025-11-29T09:00:00.0000000	3039.59447970001	3039.59447970001	
2025-11-29T09:30:00.0000000	3039.59447970001	3039.59447970001	
2025-11-29T10:00:00.0000000	3039.59447970001	3039.59447970001	
2025-11-29T10:30:00.0000000	3034.38850422201	3034.38850422201	
2025-11-29T11:00:00.0000000	3033.24619449716	3033.24619449716	
2025-11-29T11:30:00.0000000	3033.24619449716	3033.24619449716	
2025-11-29T12:00:00.0000000	3030.35618548495	3030.35618548495	
2025-11-29T12:30:00.0000000	3030.35618548495	3030.35618548495	
2025-11-29T13:00:00.0000000	3028.62964669837	3028.62964669837	
2025-11-29T13:30:00.0000000	3028.62964669837	3028.62964669837	
2025-11-29T14:00:00.0000000	3027.81124417085	3027.81124417085	
2025-11-29T14:30:00.0000000	3020.27261349605	3020.27261349605	
2025-11-29T15:00:00.0000000	3020.27261349605	3020.27261349605	
2025-11-29T15:30:00.0000000	3020.27261349605	3020.27261349605	
2025-11-29T16:00:00.0000000	3020.27261349605	3020.27261349605	
2025-11-29T16:30:00.0000000	3020.27261349605	3020.27261349605	
2025-11-29T17:00:00.0000000	3020.27261349605	3020.27261349605	
2025-11-29T17:30:00.0000000	3006.3470807482	3006.3470807482	
2025-11-29T18:00:00.0000000	3006.3470807482	3006.3470807482	
2025-11-29T18:30:00.0000000	3006.3470807482	3006.3470807482	
2025-11-29T19:00:00.0000000	3006.3470807482	3006.3470807482	
2025-11-29T19:30:00.0000000	3006.3470807482	3006.3470807482	
2025-11-29T20:00:00.0000000	3006.3470807482	3006.3470807482	
2025-11-29T20:30:00.0000000	3006.3470807482	3006.3470807482	
2025-11-29T21:00:00.0000000	3006.3470807482	3006.3470807482	
2025-11-29T21:30:00.0000000	3006.3470807482	3006.3470807482	
2025-11-29T22:00:00.0000000	3006.3470807482	3006.3470807482	
2025-11-29T22:30:00.0000000	3006.3470807482	3006.3470807482	
2025-11-29T23:00:00.0000000	3006.3470807482	3006.3470807482	
2025-11-29T23:30:00.0000000	3006.3470807482	3006.3470807482	
2025-11-30T00:00:00.0000000	3006.3470807482	3006.3470807482	
2025-11-30T00:30:00.0000000	3006.3470807482	3006.3470807482	
2025-11-30T01:00:00.0000000	3006.3470807482	3006.3470807482	
2025-11-30T01:30:00.0000000	3006.3470807482	3006.3470807482	
2025-11-30T02:00:00.0000000	3006.3470807482	3006.3470807482	
2025-11-30T02:30:00.0000000	3006.3470807482	3006.3470807482	
2025-11-30T03:00:00.0000000	3006.3470807482	3006.3470807482	
2025-11-30T03:30:00.0000000	3006.3470807482	3006.3470807482	
2025-11-30T04:00:00.0000000	3006.3470807482	3006.3470807482	
2025-11-30T04:30:00.0000000	3006.3470807482	3006.3470807482	
2025-11-30T05:00:00.0000000	3006.3470807482	3006.3470807482	
2025-11-30T05:30:00.0000000	3006.3470807482	3006.3470807482	
2025-11-30T06:00:00.0000000	3006.3470807482	3006.3470807482	
2025-11-30T06:30:00.0000000	3006.3470807482	3006.3470807482	
2025-11-30T07:00:00.0000000	3006.3470807482	3006.3470807482	
2025-11-30T07:30:00.0000000	3006.3470807482	3006.3470807482	
2025-11-30T08:00:00.0000000	2978.84275152009		2978.84275152009
2025-11-30T08:30:00.0000000	2978.84275152009		2978.84275152009
2025-11-30T09:00:00.0000000	2978.84275152009		2978.84275152009
2025-11-30T09:30:00.0000000	2981.38218466264		2981.38218466264
2025-11-30T10:00:00.0000000	2981.57827110727		2981.57827110727
